city,lat,lon,category,name,source
Cotonou,6.3778135,2.4632254,school,Ecole Primaire Publique Suru Léré,OSM
Cotonou,6.377651,2.4625521,school,Ecole Primaire Publique Sènadé,OSM
Cotonou,6.379946,2.4637149,school,St Emmanuel,OSM
Cotonou,6.3827236,2.4625012,school,Ecole Primaire Publique kowegbo,OSM
Cotonou,6.3725933,2.4643058,pharmacy,Pharmacie St martin,OSM
Cotonou,6.3772484,2.456819,pharmacy,Pharmacie Sènadé,OSM
Cotonou,6.3811714,2.4412072,restaurant,Soft Bar Resto,OSM
Cotonou,6.3704035,2.4209817,pharmacy,Le Conseil,OSM
Cotonou,6.392192,2.3666077,driving_school,Auto-École Universelle,OSM
Cotonou,6.3567686,2.3941995,restaurant,Livingstone,OSM
Cotonou,6.356143,2.3617439,school,school_unnamed,OSM
Cotonou,6.3480301,2.401208,hotel,Novotel Cotonou Orisha,OSM
Cotonou,6.3723429,2.4397307,school,Ecole Primaire de Midombo A et B,OSM
Cotonou,6.3842004,2.4222212,school,Complexe Scolaire Gbeffa,OSM
Cotonou,6.3842611,2.4251211,school,Brain Builders International School,OSM
Cotonou,6.3859949,2.4242148,school,Collège catholique Sainte Cécile,OSM
Cotonou,6.3691206,2.4471815,school,CEG AKPAKPA CENTRE,OSM
Cotonou,6.3706903,2.4467486,hotel,HOTEL GL,OSM
Cotonou,6.3722857,2.4525945,pharmacy,Pharmacie Ciné Concorde,OSM
Cotonou,6.3742011,2.4598795,school,EPP AMAKENE ESPERANCE,OSM
Cotonou,6.3743274,2.4618236,restaurant,ARIYAA CAFETARIAT,OSM
Cotonou,6.3685266,2.4842635,pharmacy,Pharmacie de l'Abattoir,OSM
Cotonou,6.3685138,2.4837007,atm,UBA,OSM
Cotonou,6.3682592,2.447157,restaurant,Maquis YAO,OSM
Cotonou,6.3667018,2.4552305,pharmacy,Pharmacie la Béninoise,OSM
Cotonou,6.3616908,2.4076797,school,Collège Saint-Roger,OSM
Cotonou,6.3794789,2.4645571,hotel,HOTEL KOB,OSM
Cotonou,6.3791243,2.4690211,school,school_unnamed,OSM
Cotonou,6.3871133,2.3726643,school,Complexe scolaire,OSM
Cotonou,6.3768919,2.449453,school,CS Notre Dame de Toutes Graces,OSM
Cotonou,6.3782327,2.4482218,school,CSP Bon Berger,OSM
Cotonou,6.3766107,2.4479885,school,CSP Lucie Verone,OSM
Cotonou,6.3747461,2.4497829,school,CSP St Laurent,OSM
Cotonou,6.374271,2.4466923,pharmacy,Pharmacie Sacré Coeur,OSM
Cotonou,6.3812302,2.4467801,pharmacy,Pharmacie Segbeya,OSM
Cotonou,6.3735219,2.446129,school,school_unnamed,OSM
Cotonou,6.3622629,2.427767,hotel,Hôtel MelJomar,OSM
Cotonou,6.3617871,2.4272282,school,École Libanaise-Cotonou,OSM
Cotonou,6.3814708,2.4552351,hotel,Hotel Phénix,OSM
Cotonou,6.3637992,2.4206761,hotel,BENIN ROYAL HOTEL,OSM
Cotonou,6.3581716,2.3992587,hotel,Hôtel Méditerrané,OSM
Cotonou,6.3603897,2.4218641,pharmacy,Pharmacie Saint-Jean,OSM
Cotonou,6.3653988,2.4341699,pharmacy,Pharmacie Saint-Joseph,OSM
Cotonou,6.3832915,2.4041904,restaurant,Le Lagon,OSM
Cotonou,6.3791604,2.42009,restaurant,Restaurant ''Jadore'',OSM
Cotonou,6.3827741,2.4173863,school,Collège de la paix,OSM
Cotonou,6.3785779,2.4205092,pharmacy,Pharmacie Nouvelle,OSM
Cotonou,6.3927064,2.3607444,pharmacy,Sainteté à l'Éternel,OSM
Cotonou,6.3921794,2.3641845,restaurant,MAFAMI,OSM
Cotonou,6.376526,2.479516,pharmacy,Pharmacie saint urbain,OSM
Cotonou,6.3706515,2.4786438,pharmacy,Pharmacie Dégakon,OSM
Cotonou,6.3693986,2.4779554,school,Complexe scolaire stella Matutina,OSM
Cotonou,6.3692902,2.4127004,restaurant,Saveurs du Bénin,OSM
